Model,Train F1,Test F1,Train Recall,Test Recall,Train ROC-AUC,Test ROC-AUC,CV Mean,CV Std,Overfitting Gap,Train Time (s),Status
1. Dummy Classifier,0.7744289929014155,0.7741425808579093,0.8452960259529603,0.8450932684509327,0.5,0.5,0.774429010823221,0.0002786252058591814,0.0002864120435062123,0.0012047290802001953,✓ Başarılı
2. Logistic Regression,0.895255214009318,0.8874372831618087,0.8985198702351987,0.8921330089213301,0.906427236920326,0.8911678105938038,0.894337033006863,0.00931910900111849,0.007817930847509258,0.5121450424194336,✓ Başarılı
3. Ridge Classifier,0.8941358610024227,0.887116287739778,0.8959854014598541,0.8901054339010543,0.0,0.0,0.8942392184874262,0.009066922607506193,0.007019573262644685,0.005783557891845703,✓ Başarılı
4. K-Nearest Neighbors (KNN),0.913698775174893,0.8657818025845055,0.9163625304136253,0.8710462287104623,0.9595529255910269,0.8373044186069882,0.8810028550707696,0.006287438807314543,0.04791697259038741,0.0018031597137451172,✓ Başarılı
5. Decision Tree,0.9491600958472473,0.8795667691696617,0.9504257907542579,0.8824006488240065,0.9777188601381916,0.8393318326617158,0.8768011934855092,0.008943050508450774,0.06959332667758555,0.05584454536437988,✓ Başarılı
6. Random Forest,1.0,0.892374361130783,1.0,0.8969991889699919,1.0,0.9165469144114721,0.8976618225616428,0.007835421977397589,0.10762563886921706,1.2553424835205078,✓ Başarılı
7. Extra Trees,1.0,0.8883928614249533,1.0,0.8937550689375506,1.0,0.9068922028720443,0.8934838453555647,0.007270097259188991,0.11160713857504667,0.5246994495391846,✓ Başarılı
8. Gradient Boosting,0.9187856586234239,0.8958438483650784,0.9220397404703974,0.9006488240064883,0.9488706507841846,0.9245121142386269,0.8963250846384103,0.006191799267614652,0.02294181025834552,2.5463693141937256,✓ Başarılı
9. AdaBoost,0.8895635895727344,0.8844800253057566,0.8915247364152473,0.8868613138686131,0.922619741856749,0.9106637708394046,0.8886921095439236,0.007876817586570464,0.005083564266977758,0.48735570907592773,✓ Başarılı
10. Bagging Classifier,0.9996957414747174,0.8931312778606413,0.9996958637469586,0.8990267639902676,1.0,0.9175637617951784,0.8933193192209492,0.006786245248358176,0.10656446361407612,2.382411003112793,✓ Başarılı
11. Naive Bayes,0.8647875538286327,0.8578980244284137,0.855940794809408,0.8491484184914841,0.874187231035286,0.8425670277657746,0.8645000259896619,0.008513391342138191,0.00688952940021903,0.0038306713104248047,✓ Başarılı
12. Support Vector Machine,0.8849981605489151,0.8799164243084515,0.8834144363341444,0.8791565287915653,0.8350181565426898,0.8132222819587784,0.8843489272503486,0.004816284886506067,0.005081736240463597,4.768258333206177,✓ Başarılı
13. MLP Neural Network,0.8106184868046484,0.8019499176960042,0.8585766423357665,0.8527980535279805,0.5945010243804754,0.5717257388630402,0.8834426484549418,0.017159327693359892,0.00866856910864422,0.9387190341949463,✓ Başarılı
