,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue
Administrative,1.0,0.6016,0.3769,0.2558,0.4311,0.3739,-0.2236,-0.3165,0.099,-0.0948,-0.0063,-0.025,-0.0055,-0.0336,0.0264,0.1389
Administrative_Duration,0.6016,1.0,0.3027,0.238,0.2891,0.3554,-0.1442,-0.2058,0.0676,-0.0733,-0.0073,-0.0154,-0.0056,-0.0144,0.015,0.0936
Informational,0.3769,0.3027,1.0,0.619,0.3742,0.3875,-0.1161,-0.1637,0.0486,-0.0482,-0.0095,-0.0382,-0.0292,-0.0345,0.0358,0.0952
Informational_Duration,0.2558,0.238,0.619,1.0,0.28,0.3474,-0.0741,-0.1053,0.0309,-0.0306,-0.0096,-0.0193,-0.0271,-0.0247,0.0241,0.0703
ProductRelated,0.4311,0.2891,0.3742,0.28,1.0,0.8609,-0.2046,-0.2925,0.0563,-0.024,0.0043,-0.0131,-0.0381,-0.0431,0.0161,0.1585
ProductRelated_Duration,0.3739,0.3554,0.3875,0.3474,0.8609,1.0,-0.1845,-0.252,0.0528,-0.0364,0.003,-0.0074,-0.0331,-0.0364,0.0073,0.1524
BounceRates,-0.2236,-0.1442,-0.1161,-0.0741,-0.2046,-0.1845,1.0,0.913,-0.1194,0.0727,0.0238,-0.0158,-0.0065,0.0783,-0.0465,-0.1507
ExitRates,-0.3165,-0.2058,-0.1637,-0.1053,-0.2925,-0.252,0.913,1.0,-0.1745,0.1022,0.0146,-0.0044,-0.0089,0.0786,-0.0626,-0.2071
PageValues,0.099,0.0676,0.0486,0.0309,0.0563,0.0528,-0.1194,-0.1745,1.0,-0.0635,0.0185,0.0456,0.0113,0.0125,0.012,0.4926
SpecialDay,-0.0948,-0.0733,-0.0482,-0.0306,-0.024,-0.0364,0.0727,0.1022,-0.0635,1.0,0.0127,0.0035,-0.0161,0.0523,-0.0168,-0.0823
OperatingSystems,-0.0063,-0.0073,-0.0095,-0.0096,0.0043,0.003,0.0238,0.0146,0.0185,0.0127,1.0,0.223,0.0768,0.1892,0.0003,-0.0147
Browser,-0.025,-0.0154,-0.0382,-0.0193,-0.0131,-0.0074,-0.0158,-0.0044,0.0456,0.0035,0.223,1.0,0.0974,0.1119,-0.0403,0.024
Region,-0.0055,-0.0056,-0.0292,-0.0271,-0.0381,-0.0331,-0.0065,-0.0089,0.0113,-0.0161,0.0768,0.0974,1.0,0.0475,-0.0007,-0.0116
TrafficType,-0.0336,-0.0144,-0.0345,-0.0247,-0.0431,-0.0364,0.0783,0.0786,0.0125,0.0523,0.1892,0.1119,0.0475,1.0,-0.0022,-0.0051
Weekend,0.0264,0.015,0.0358,0.0241,0.0161,0.0073,-0.0465,-0.0626,0.012,-0.0168,0.0003,-0.0403,-0.0007,-0.0022,1.0,0.0293
Revenue,0.1389,0.0936,0.0952,0.0703,0.1585,0.1524,-0.1507,-0.2071,0.4926,-0.0823,-0.0147,0.024,-0.0116,-0.0051,0.0293,1.0
