Model,Train F1,Test F1,Recall,ROC_AUC,CV_Mean
Dummy Classifier,0.7744289929014155,0.7741425808579093,0.0,0.5,0.774429010823221
Logistic Regression,0.8702939684350778,0.8613571872507834,0.3534031413612565,0.8687192873149703,0.8675702879253404
Ridge Classifier,0.8452490437944763,0.8420628175750025,0.2356020942408377,0.8780072052335921,0.845602606861194
KNN,0.9137192098969704,0.8666259421908924,0.4973821989528796,0.8384927294469957,0.8799820389548048
Decision Tree,1.0,0.8595677653169301,0.5392670157068062,0.7290864829013878,0.8635918542881307
Random Forest,1.0,0.89221528641281,0.5549738219895288,0.914513847715328,0.8943184388860248
Extra Trees,1.0,0.8747654859431743,0.4267015706806282,0.8959342434504727,0.8797558216134249
Gradient Boosting,0.9188737886585858,0.8944825492016553,0.5837696335078534,0.9261507521781512,0.898812522763658
AdaBoost,0.8929318412522012,0.8816270723247353,0.5471204188481675,0.9154459054777864,0.887295375484338
Bagging,0.9907827053767062,0.8833837064583798,0.5130890052356021,0.8844085076021746,0.8865027335595815
Naive Bayes,0.781255166288565,0.7774256078463176,0.643979057591623,0.7678422485956327,0.7769621429343154
MLP Neural Network,0.8516650338614198,0.8463818830323205,0.2434554973821989,0.7985197616343921,0.8811577681068551
